ad Group, 1, Task Count, 30
Timestamp, 1739388053417, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053417, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053417, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053417, Thread Group, 1, Task Count, 30
Timestamp, 1739388053418, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053418, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053418, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053418, Thread Group, 0, Task Count, 30
Timestamp, 1739388053419, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053419, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053419, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053419, Thread Group, 1, Task Count, 30
Timestamp, 1739388053421, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053421, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053421, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053421, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053421, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053421, Thread Group, 0, Task Count, 30
Timestamp, 1739388053421, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053421, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053421, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053421, Thread Group, 0, Task Count, 30
Timestamp, 1739388053421, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053421, Thread Group, 0, Task Count, 30
Timestamp, 1739388053423, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053423, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053423, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053423, Thread Group, 1, Task Count, 30
Timestamp, 1739388053423, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053423, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053423, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053423, Thread Group, 1, Task Count, 30
Timestamp, 1739388053428, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053428, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053428, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053428, Thread Group, 1, Task Count, 30
Timestamp, 1739388053429, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053429, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053429, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053429, Thread Group, 0, Task Count, 30
Timestamp, 1739388053430, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053430, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053430, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053430, Thread Group, 1, Task Count, 30
Timestamp, 1739388053430, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053430, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053430, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053430, Thread Group, 0, Task Count, 30
Timestamp, 1739388053435, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053435, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053435, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053435, Thread Group, 0, Task Count, 30
Timestamp, 1739388053438, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053438, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053438, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053438, Thread Group, 0, Task Count, 30
Timestamp, 1739388053530, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053530, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053530, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053530, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053530, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053530, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053530, Thread Group, 1, Task Count, 30
Timestamp, 1739388053530, Thread Group, 1, Task Count, 30
Timestamp, 1739388053530, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053530, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053530, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053530, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053530, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053530, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053530, Thread Group, 1, Task Count, 30
Timestamp, 1739388053530, Thread Group, 0, Task Count, 30
Timestamp, 1739388053532, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053532, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053532, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053532, Thread Group, 0, Task Count, 30
Timestamp, 1739388053532, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053532, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053532, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053532, Thread Group, 1, Task Count, 30
Timestamp, 1739388053548, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053548, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053548, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053548, Thread Group, 1, Task Count, 30
Timestamp, 1739388053548, Thread Group, 0, ActiveThread, 20
Timestamp, 1739388053548, Thread Group, 0, CompletedTask, 10
Timestamp, 1739388053548, Thread Group, 0, Queue Size, 0
Timestamp, 1739388053548, Thread Group, 0, Task Count, 30
Timestamp, 1739388053548, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053548, Thread Group, 1, CompletedTask, 10
Timestamp, 1739388053548, Thread Group, 1, Queue Size, 0
Timestamp, 1739388053548, Thread Group, 1, Task Count, 30
Timestamp, 1739388053548, Thread Group, 1, ActiveThread, 20
Timestamp, 1739388053548, Thread Group, 1, CompletedTask, 10
